Date/Time,ISS Latitude,ISS Longitude,MI_X (µT),MI_Y (µT),MI_Z (µT),Tot_MI,Temperature (°C)
57:09.5,-47.21223464,76.43775349,4.624717236,8.101722717,7.20023489,11.05015885,30.7821
57:20.0,-47.49625439,77.35090197,8.608017921,14.28691673,12.64712906,19.30476317,30.8182
57:30.5,-47.74743119,78.18996339,11.5231638,19.48041916,17.29989433,26.27348927,30.8182
57:41.0,-47.99179486,79.03744643,13.99498749,23.58929253,20.64241982,31.56832598,30.8182
57:51.5,-48.2525749,79.97930903,15.95375633,26.98849487,23.5975647,36.07184042,30.8362
58:02.0,-48.48222635,80.84418856,17.58759689,29.73533058,25.87639809,39.64045231,30.8002
58:12.5,-48.72652856,81.8049298,18.98649979,32.07818222,27.63717842,42.56536039,30.728
58:23.0,-48.9409282,82.68671405,20.21179581,33.95130157,28.92386055,44.827362,30.9083
58:33.4,-49.16816517,83.66570556,21.34673882,35.42527008,29.86913872,46.56674722,30.7461
58:43.9,-49.36679391,84.56373883,22.13114357,36.6573143,30.51130676,47.92525092,30.728
58:54.4,-49.57639875,85.56020196,22.73449707,37.62601852,31.14522934,49.0762374,30.8362
59:04.9,-49.75874773,86.47371244,23.22471428,38.51411438,31.48141098,49.97640401,30.6559
59:15.3,-49.95017744,87.48671146,23.91572762,39.17573929,31.56750488,50.54860672,30.8362
59:25.8,-50.11576854,88.41477024,23.64263916,39.87955856,31.92613983,51.3156919,30.6379
59:36.3,-50.28850744,89.44321231,24.25898552,40.34109497,31.96472168,51.70499358,30.8002
59:46.7,-50.43687964,90.38476072,24.56762505,40.69695282,31.72161865,51.83696252,30.71
59:57.2,-50.59044279,91.42739593,25.02031517,40.94459152,31.60643768,51.96582332,30.7461
00:07.7,-50.72117944,92.38123185,25.59353447,41.33708954,31.44622993,52.18442184,30.71
00:18.2,-50.85512969,93.43666,25.8920517,41.7370491,31.60538101,52.60012765,30.692
00:28.7,-50.9678483,94.40143788,26.18084717,41.92809677,31.27751541,52.55881578,30.5838
00:39.1,-51.0817861,95.46812218,26.33455467,42.20614624,30.98065186,52.60697791,30.7461
00:49.6,-51.17614858,96.44238719,26.50346947,42.53399658,31.06175232,52.91953129,30.5117
01:00.1,-51.26972559,97.51865425,26.80212212,42.82857513,30.85082626,53.0364257,30.6198
01:10.6,-51.34544507,98.50083545,26.86250114,42.98872375,30.4291153,52.92281104,30.728
01:21.1,-51.41837783,99.58490259,27.03253555,43.25087738,29.91521263,52.84497021,30.6198
